Number of classes: 650
Epoch 1/10
Batch 3900/18213 - Loss: nan, Accuracy: 0.16%
Batch 4000/18213 - Loss: nan, Accuracy: 0.16%
Batch 4100/18213 - Loss: nan, Accuracy: 0.16%
Batch 4200/18213 - Loss: nan, Accuracy: 0.16%
Batch 4300/18213 - Loss: nan, Accuracy: 0.16%
Batch 4400/18213 - Loss: nan, Accuracy: 0.16%
Batch 4500/18213 - Loss: nan, Accuracy: 0.16%
Batch 4600/18213 - Loss: nan, Accuracy: 0.16%
Batch 4700/18213 - Loss: nan, Accuracy: 0.16%
Batch 4800/18213 - Loss: nan, Accuracy: 0.16%
Batch 4900/18213 - Loss: nan, Accuracy: 0.16%
Batch 5000/18213 - Loss: nan, Accuracy: 0.16%
Batch 5100/18213 - Loss: nan, Accuracy: 0.16%
Batch 5200/18213 - Loss: nan, Accuracy: 0.16%
Batch 5300/18213 - Loss: nan, Accuracy: 0.16%
Batch 5400/18213 - Loss: nan, Accuracy: 0.16%
Batch 5500/18213 - Loss: nan, Accuracy: 0.16%
Batch 5600/18213 - Loss: nan, Accuracy: 0.16%
Batch 5700/18213 - Loss: nan, Accuracy: 0.16%
Batch 5800/18213 - Loss: nan, Accuracy: 0.16%
Batch 5900/18213 - Loss: nan, Accuracy: 0.16%
Batch 6000/18213 - Loss: nan, Accuracy: 0.16%
Batch 6100/18213 - Loss: nan, Accuracy: 0.16%
Batch 6200/18213 - Loss: nan, Accuracy: 0.16%
Batch 6300/18213 - Loss: nan, Accuracy: 0.16%
Batch 6400/18213 - Loss: nan, Accuracy: 0.16%
Batch 6500/18213 - Loss: nan, Accuracy: 0.16%
Batch 6600/18213 - Loss: nan, Accuracy: 0.16%
Batch 6700/18213 - Loss: nan, Accuracy: 0.16%
Batch 6800/18213 - Loss: nan, Accuracy: 0.16%
Batch 6900/18213 - Loss: nan, Accuracy: 0.16%
Batch 7000/18213 - Loss: nan, Accuracy: 0.16%
Batch 7100/18213 - Loss: nan, Accuracy: 0.16%
Batch 7200/18213 - Loss: nan, Accuracy: 0.16%
Batch 7300/18213 - Loss: nan, Accuracy: 0.17%
Batch 7400/18213 - Loss: nan, Accuracy: 0.16%
Batch 7500/18213 - Loss: nan, Accuracy: 0.16%
Batch 7600/18213 - Loss: nan, Accuracy: 0.17%
Batch 7700/18213 - Loss: nan, Accuracy: 0.17%
Batch 7800/18213 - Loss: nan, Accuracy: 0.17%
Batch 7900/18213 - Loss: nan, Accuracy: 0.17%
Batch 8000/18213 - Loss: nan, Accuracy: 0.17%
Batch 8100/18213 - Loss: nan, Accuracy: 0.17%
Batch 8200/18213 - Loss: nan, Accuracy: 0.17%
Batch 8300/18213 - Loss: nan, Accuracy: 0.16%
Batch 8400/18213 - Loss: nan, Accuracy: 0.16%
Batch 8500/18213 - Loss: nan, Accuracy: 0.16%
Batch 8600/18213 - Loss: nan, Accuracy: 0.16%
Batch 8700/18213 - Loss: nan, Accuracy: 0.16%
